업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적(건물내_외부),업태명,담당부서
일반음식점,1982-03-03,한일정,,서울특별시 동작구 노량진동 44-21 중앙    5호,149.49,한식,보건행정과
일반음식점,1982-04-20,미주,,서울특별시 동작구 사당동 548-6 ,31.3,한식,보건행정과
일반음식점,1983-04-13,전주한방오리,"서울특별시 동작구 사당로 252 (사당동,321-114)",서울특별시 동작구 사당동 318-77 321-114 ,83,한식,보건행정과
일반음식점,1985-05-29,수산회관,"서울특별시 동작구 노들로 674, 지상2층 21호 (노량진동)",서울특별시 동작구 노량진동 13-6 ,370.22,일식,보건행정과
일반음식점,1985-05-21,금학횟집,"서울특별시 동작구 노들로 674, 2층 9호 (노량진동)",서울특별시 동작구 노량진동 13-6 2층 9호,139.74,횟집,보건행정과
일반음식점,1989-06-19,한강호프,,서울특별시 동작구 흑석동 33-91 ,24.3,정종/대포집/소주방,보건행정과
일반음식점,2008-02-11,이고시다,,서울특별시 동작구 신대방동 358-10 ,90.23,한식,보건행정과
일반음식점,1993-07-20,흥부네,"서울특별시 동작구 등용로 124 (대방동,외 3필지)",서울특별시 동작구 대방동 23 외 3필지 ,67.37,한식,보건행정과
일반음식점,1994-04-14,송현,,서울특별시 동작구 노량진동 62-19 ,70-16,-27,72-3,-16,-34 ,25.2,한식,보건행정과
일반음식점,1994-08-05,홍두깨,,서울특별시 동작구 신대방동 565-26 ,16.38,분식,보건행정과
일반음식점,1994-01-27,황금어장,"서울특별시 동작구 노들로 674, 지상2층 6호 (노량진동)",서울특별시 동작구 노량진동 13-6 ,139.74,횟집,보건행정과
일반음식점,1994-02-03,진남회집,"서울특별시 동작구 노들로 674, 지상2층 13호 (노량진동)",서울특별시 동작구 노량진동 13-6 ,139.8,일식,보건행정과
일반음식점,1994-03-16,미자식당,"서울특별시 동작구 노들로 674, 지상2층 8호 (노량진동)",서울특별시 동작구 노량진동 13-6 ,209.62,한식,보건행정과
일반음식점,1994-02-17,컵히커피,서울특별시 동작구 흑석로13나길 4 (흑석동),서울특별시 동작구 흑석동 164-5 ,15.84,경양식,보건행정과
일반음식점,1997-03-31,맷돌이야기,,서울특별시 동작구 사당동 147-73 ,69.45,한식,보건행정과
일반음식점,1998-10-28,환타지,서울특별시 동작구 여의대방로24길 120 (신대방동),서울특별시 동작구 신대방동 355-20 ,18.2,경양식,보건행정과
일반음식점,1998-05-12,희래등,"서울특별시 동작구 등용로 123 (대방동,외 3필지)",서울특별시 동작구 대방동 39-2 외 3필지 ,709.29,중국식,보건행정과
